autor,título_traducido,lengua,traductor,ciudad,lat,long,editorial,país,año,edición,páginas,título_original,lengua_original
"Borges, Jorge Luis", Fictions ,English  ,, New York,40.7808,-73.9772, Alfred A. Knopf ,United States of America,1993,1, xliii  143 p, Ficciones ,Spanish 
"Borges, Jorge Luis", O Aleph ,Portuguese  ," Cardoso, Flávio José ", Lisboa,38.736946,-9.142685, Estampa ,Portugal,1993,2, 190  (1) p,4 ed El Aleph,Spanish 
"Borges, Jorge Luis", Denkisyû ,Japanese  , Tuzumi Tadasi , Tokyo,35.6895,139.69171, Iwanami syoten ,Japan,1993,1, 282 p, Ficciones ,Spanish 
"Ferrari, Osvaldo; Borges, Jorge Luis", Conversazioni con Osvaldo Ferrari ,Italian  ," Tentori Montalto, Francesco ", Milano,45.46427,9.18951, Bompiani ,Italy,1993,2, 230 p, Borges en diálogo ,Spanish 
"Borges, Jorge Luis"," Elogio da sombra, Um ensaio autobiografico ",Portuguese  ," Alfredo, Jacques; Bordini, Maria da Gloria; Nejar, Carlos ", São Paulo,-23.5475,-46.63611, Globo ,Brazil,1993,1, 122 p,5 ed  Elogio de la sombra ,Spanish 
"Bioy Casares, Adolfo; Borges, Jorge Luis"," I dodici segni dello zodiaco, Le notti di Goliadkin, Il dio dei tori ",Italian  ," Brocca, Vanna ", Pordenone,45.95689,12.66051, Studio Tesi ,Italy,1993,2, XI  77 p,Seis problemas para don Isidro Parodi ,Spanish 
"Borges, Jorge Luis", Ficciones ,English  ,, London,51.509865,-0.118092, Everyman's Library ,United Kingdom,1993,1, xliii 142p,,Spanish 
"Borges, Jorge Luis; (Bernés, Jean-Pierre)", Ficciones ,French  ," Caillois, Roger; Ibarra, Nestor; Verdevoye, Paul ", Paris,48.8534,2.3488, Gallimard ,France,1994,4, 371 p,-(16) p de pl Bilingual ed,Spanish 
"Borges, Jorge Luis", Pis'mena Boga ,Russian  ," Petrovskij, I. ", Moskva, 55.75222, 37.61556, Respublika ,Russian Federation,1994,1,, 1v,Spanish 
"Borges, Jorge Luis; (Haefs, Gisbert; et al.)", Fiktionen Erzählungen ,German  ," Horst, Karl August ", Frankfurt am Main,50.11552,8.68417, S. Fischer ,Germany,1994,4, 187 p, ,Spanish 
"Borges, Jorge Luis; (Arnold, Fritz; Haefs, Gisbert)"," Werke (4) Von Büchern und Autoren..., (5) Fiktionen Erzählungen 1939-1944, (12) Schatten und Tiger Gedichte 1966-1972, (15) Buch der Träume, (19) Mord nach Modell, (20) Zwielicht und Pomp ",German  ," Haefs, Gisbert; et al. ", Frankfurt am Main,50.11552,8.68417, Fischer-Taschenbuch-Verlag ,Germany,1994,4,, 6 v,Spanish 
